개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
공과금,,,,,,도시가스
공과금,,,,,,관리비
교통,,,,,,KTX
교통,,,,,,택시
교통,,,,,,지하철
교통,,,,,,버스
배달,,,,,,배달의민족
배달,,,,,,요기요
배달,,,,,,쿠팡이츠
스트리밍,,,,,,왓챠
스트리밍,,,,,,티빙
스트리밍,,,,,,웨이브
스트리밍,,,,,,넷플릭스
스트리밍,,,,,,유튜브프리미엄
스트리밍,,,,,,디즈니플러스
스트리밍,,,,,,FLO
스트리밍,,,,,,멜론
온라인,,,,,,네이버쇼핑
온라인,,,,,,마켓컬리
온라인,,,,,,쿠팡
온라인,,,,,,롯데ON
온라인,,,,,,G마켓
온라인,,,,,,옥션
온라인,,,,,,위메프
온라인,,,,,,11번가
온라인,,,,,,SSG.COM
온라인,,,,,,현대Hmall
온라인,,,,,,GS SHOP
온라인,,,,,,티몬
온라인,,,,,,CJMALL
온라인,,,,,,인터파크
온라인(간편결제),,,,,,SK페이
온라인(간편결제),,,,,,L.PAY
온라인(간편결제),,,,,,SSGPAY
온라인(간편결제),,,,,,COUPAY
온라인(간편결제),,,,,,스마일페이
온라인(간편결제),,,,,,PAYCO
온라인(간편결제),,,,,,카카오페이
온라인(간편결제),,,,,,네이버페이
온라인(간편결제),,,,,,삼성페이
온라인(간편결제),,,,,,쿠페이
통신,,,,,,LGU+
통신,,,,,,SKT
통신,,,,,,KT
